timestamp,parking_lot_id,latitude,longitude,capacity,occupancy,queue_length,vehicle_type,traffic,is_special_day
2016-10-04 07:59:00,BHMBCCMKT01,26.14453614,91.73617216,577,61,1,car,2.0,0
2016-10-04 08:25:00,BHMBCCMKT01,26.14453614,91.73617216,577,64,1,car,2.0,0
2016-10-04 08:59:00,BHMBCCMKT01,26.14453614,91.73617216,577,80,2,car,2.0,0
2016-10-04 09:32:00,BHMBCCMKT01,26.14453614,91.73617216,577,107,2,car,2.0,0
2016-10-04 09:59:00,BHMBCCMKT01,26.14453614,91.73617216,577,150,2,bike,2.0,0
2016-10-04 10:26:00,BHMBCCMKT01,26.14453614,91.73617216,577,177,3,car,2.0,0
2016-10-04 10:59:00,BHMBCCMKT01,26.14453614,91.73617216,577,219,6,truck,9.0,0
2016-10-04 12:29:00,BHMBCCMKT01,26.14453614,91.73617216,577,266,8,bike,9.0,0
2016-10-04 13:02:00,BHMBCCMKT01,26.14453614,91.73617216,577,269,7,car,9.0,0
2016-10-04 13:29:00,BHMBCCMKT01,26.14453614,91.73617216,577,263,7,car,9.0,0
2016-10-04 14:02:00,BHMBCCMKT01,26.14453614,91.73617216,577,238,5,car,9.0,0
2016-10-04 15:30:00,BHMBCCMKT01,26.14453614,91.73617216,577,165,2,car,2.0,0
2016-10-04 16:04:00,BHMBCCMKT01,26.14453614,91.73617216,577,162,1,bike,2.0,0
2016-10-05 07:57:00,BHMBCCMKT01,26.14453614,91.73617216,577,54,1,car,2.0,0
2016-10-05 09:04:00,BHMBCCMKT01,26.14453614,91.73617216,577,71,2,car,2.0,0
2016-10-05 10:04:00,BHMBCCMKT01,26.14453614,91.73617216,577,114,3,car,2.0,0
2016-10-05 10:30:00,BHMBCCMKT01,26.14453614,91.73617216,577,128,4,truck,9.0,0
2016-10-05 12:04:00,BHMBCCMKT01,26.14453614,91.73617216,577,178,6,car,9.0,0
2016-10-05 12:30:00,BHMBCCMKT01,26.14453614,91.73617216,577,183,7,car,9.0,0
2016-10-05 12:57:00,BHMBCCMKT01,26.14453614,91.73617216,577,175,7,car,9.0,0
2016-10-05 13:30:00,BHMBCCMKT01,26.14453614,91.73617216,577,179,6,truck,9.0,0
2016-10-05 14:30:00,BHMBCCMKT01,26.14453614,91.73617216,577,158,5,car,9.0,0
2016-10-05 15:30:00,BHMBCCMKT01,26.14453614,91.73617216,577,129,2,car,2.0,0
2016-10-05 16:04:00,BHMBCCMKT01,26.14453614,91.73617216,577,121,2,car,2.0,0
2016-10-05 16:30:00,BHMBCCMKT01,26.14453614,91.73617216,577,114,1,bike,2.0,0
2016-10-06 07:57:00,BHMBCCMKT01,26.14453614,91.73617216,577,58,1,car,2.0,0
2016-10-06 08:30:00,BHMBCCMKT01,26.14453614,91.73617216,577,63,1,car,2.0,0
2016-10-06 08:57:00,BHMBCCMKT01,26.14453614,91.73617216,577,70,1,car,2.0,0
2016-10-06 09:30:00,BHMBCCMKT01,26.14453614,91.73617216,577,95,2,car,2.0,0
2016-10-06 10:03:00,BHMBCCMKT01,26.14453614,91.73617216,577,135,3,car,2.0,0
2016-10-06 12:04:00,BHMBCCMKT01,26.14453614,91.73617216,577,199,7,car,9.0,0
2016-10-06 12:30:00,BHMBCCMKT01,26.14453614,91.73617216,577,206,7,car,9.0,0
2016-10-06 13:30:00,BHMBCCMKT01,26.14453614,91.73617216,577,208,7,bike,9.0,0
2016-10-06 15:04:00,BHMBCCMKT01,26.14453614,91.73617216,577,158,2,car,2.0,0
2016-10-06 15:31:00,BHMBCCMKT01,26.14453614,91.73617216,577,153,2,bike,2.0,0
2016-10-06 16:04:00,BHMBCCMKT01,26.14453614,91.73617216,577,135,1,bike,2.0,0
2016-10-06 16:30:00,BHMBCCMKT01,26.14453614,91.73617216,577,129,2,car,2.0,0
2016-10-07 08:03:00,BHMBCCMKT01,26.14453614,91.73617216,577,58,2,car,2.0,0
2016-10-07 09:04:00,BHMBCCMKT01,26.14453614,91.73617216,577,75,1,car,2.0,0
